ac_type,ac_type_clasif1,ac_type_clasif2
Swearingen SA.226TC Metro I,Avión de transporte y pasajeros,Avión
Swearingen SA.226TC Metro II,Avión de transporte y pasajeros,Avión
Swearingen SA.227AC Metro,Avión de transporte y pasajeros,Avión
Swearingen SA.227AC Metro III,Avión de transporte y pasajeros,Avión
Swearingen SA.227AT Merlin IVC,Avión de transporte y pasajeros,Avión
Swearingen SA227-AC,Avión de transporte y pasajeros,Avión
Swearingen SA227-AC Metro II,Avión de transporte y pasajeros,Avión
Swearingen SA227-AC Metro III,Avión de transporte y pasajeros,Avión
Swearingen SA227AC Metro III,Avión de transporte y pasajeros,Avión
Swearingen SA227AC Metroliner III,Avión de transporte y pasajeros,Avión
Swearingen SA227AT Merlin IVC,Avión militar,Avión
Swearingen SA277-AT Expditer,Avión de transporte y carga,Avión
Tempest,Avión de transporte y carga,Avión
Transall C-160,Avión de transporte y carga,Avión
Transall C-160D,Avión comercial de pasajeros,Avión
Transall C-160NG,Avión ligero,Avión
Transportes AÃ©reos Orientales,Avión de transporte y pasajeros,Avión
Travel Air 4000,Avión de transporte y pasajeros,Avión
Travel Air 6000,Avión de transporte y pasajeros,Avión
Travel Air A6000A,Avión de transporte y pasajeros,Avión
Travel Air B6000,Avión de transporte y pasajeros,Avión
Tuolev 134AK,Avión de transporte y pasajeros,Avión
Tupolev 134A-3,Avión de transporte y pasajeros,Avión
Tupolev 154B-2,Avión de transporte y pasajeros,Avión
Tupolev 154M,Avión de transporte y pasajeros,Avión
Tupolev A.N.T. 20bis,Avión de transporte y pasajeros,Avión
Tupolev ANT-20 / I-5,Avión de transporte y pasajeros,Avión
Tupolev ANT-6,Avión de transporte y pasajeros,Avión
Tupolev ANT-9,Avión de transporte y pasajeros,Avión
Tupolev TU 154B-2,Avión de transporte y pasajeros,Avión
Tupolev TU-104-A,Avión de transporte y pasajeros,Avión
Tupolev TU-104A,Avión de transporte y pasajeros,Avión
Tupolev TU-104B,Avión de transporte y pasajeros,Avión
Tupolev TU-114B,Avión de transporte y pasajeros,Avión
Tupolev TU-124,Avión de transporte y pasajeros,Avión
Tupolev TU-124V,Avión de transporte y pasajeros,Avión
Tupolev TU-134,Avión de transporte y pasajeros,Avión
Tupolev TU-134A,Avión de transporte y pasajeros,Avión
Tupolev TU-134A / Antonov An-26,Avión de transporte y pasajeros,Avión
Tupolev TU-134A / Tupolev Tu-134A,Avión de transporte y pasajeros,Avión
Tupolev TU-134B-3,Avión de transporte y pasajeros,Avión
Tupolev TU-144,Avión de transporte y pasajeros,Avión
Tupolev TU-154,Avión de transporte y pasajeros,Avión
Tupolev TU-154A,Avión de transporte y pasajeros,Avión
Tupolev TU-154B,Avión de transporte y pasajeros,Avión
Tupolev TU-154B-1,Avión de transporte y pasajeros,Avión
Tupolev TU-154B-2,Avión de transporte y pasajeros,Avión
Tupolev TU-154M,Avión de transporte y pasajeros,Avión
Tupolev TU-154M / Boeing B-757-23APF,Avión de transporte y pasajeros,Avión
Tupolev TU-154M / C-141 Starlifter,Avión de transporte y pasajeros,Avión
Tupolev TU-154M / Sukhoi Su-24,Avión de transporte y pasajeros,Avión
Tupolev TU-204-100V,Avión de transporte y pasajeros,Avión
Tupolev Tu-104A,Avión de transporte y pasajeros,Avión
Tupolev Tu-104B,Avión de transporte y pasajeros,Avión
Tupolev Tu-114,Avión de transporte y pasajeros,Avión
Tupolev Tu-124,Avión de transporte y pasajeros,Avión
Tupolev Tu-124V,Avión de transporte y pasajeros,Avión
Tupolev Tu-134,Avión de transporte y pasajeros,Avión
Tupolev Tu-142M3,Avión de transporte y pasajeros,Avión
Tupolev Tu-154B-2,Helicóptero militar,Helicóptero
Tupolev Tu-154M,Avión de transporte y carga,Avión
Twin Apache,Helicóptero militar,Helicóptero
UC-64A Noorduyn Norseman,Helicóptero militar,Helicóptero
UH-60 Black Hawk / UH-60 Black Hawk,Helicóptero militar,Helicóptero
UH-60 Blackhawk helilcopter,Helicóptero de transporte y pasajeros,Helicóptero
UH-60L Black Hawk,Dirigible experimental,Dirigible
Urocopter AS350 B2,Avión de transporte y pasajeros,Avión
V6 (airship),Avión de transporte y pasajeros,Avión
VC-Viking,Avión de transporte y pasajeros,Avión
VEB 14P,Avión de transporte y pasajeros,Avión
Vickers 604 Viking 1B,Avión de transporte y pasajeros,Avión
Vickers 610 Viking 1B,Avión de transporte y pasajeros,Avión
Vickers 610 Viking-1B,Avión de transporte y pasajeros,Avión
Vickers 614 Viking 1,Avión de transporte y pasajeros,Avión
Vickers 615 Viking 1B,Avión de transporte y pasajeros,Avión
Vickers 616 Viking 1B,Avión de transporte y pasajeros,Avión
Vickers 620 Viking 1,Avión de transporte y pasajeros,Avión
Vickers 621 Viking 1,Avión de transporte y pasajeros,Avión
Vickers 628 Viking 1B,Avión de transporte y pasajeros,Avión
Vickers 634 Viking,Avión de transporte y pasajeros,Avión
Vickers 634 Viking 1B,Avión de transporte y pasajeros,Avión
Vickers 639 Viking 1,Avión de transporte y pasajeros,Avión
Vickers 708 Viscount,Avión militar,Avión
Vickers 720 Viscount,Avión de transporte y pasajeros,Avión
Vickers 74 Vulcan,Avión de transporte y pasajeros,Avión
Vickers 757 Viscount,Avión de transporte y pasajeros,Avión
Vickers 785D Viscount,Avión de transporte y pasajeros,Avión
Vickers 798D Viscount,Avión de transporte y pasajeros,Avión
Vickers 802 Viscount,Avión de transporte y pasajeros,Avión
Vickers 804 Viscount,Avión de transporte y pasajeros,Avión
Vickers 813 Viscount,Avión de transporte y pasajeros,Avión
Vickers 815 Viscount,Avión de transporte y pasajeros,Avión
Vickers 828 Viscount,Avión de transporte y pasajeros,Avión
Vickers 837 Viscount,Avión militar,Avión
Vickers 952F Vanguard,Avión militar,Avión
Vickers Valetta,Avión militar,Avión
Vickers Valetta C-1,Avión militar,Avión
Vickers Valetta C-Mk.1,Avión militar,Avión
Vickers Valetta Mk1 / Avero Lancaster,Avión de transporte y pasajeros,Avión
Vickers Valetta T-3,Avión de transporte y pasajeros,Avión
Vickers Vanguard 951,Avión de transporte y pasajeros,Avión
Vickers Vanguard 952,Avión de transporte y pasajeros,Avión
Vickers Viking 1B,Avión de transporte y pasajeros,Avión
Vickers Viking 1B & Soviet YAK-3 fighter,Avión de transporte y pasajeros,Avión
Vickers Viking 3B,Avión de transporte y pasajeros,Avión
Vickers Viking 610-1B,Avión de transporte y pasajeros,Avión
Vickers Viscount,Avión de transporte y pasajeros,Avión
Vickers Viscount 701,Avión de transporte y pasajeros,Avión
Vickers Viscount 701C,Avión de transporte y pasajeros,Avión
Vickers Viscount 708,Avión de transporte y pasajeros,Avión
Vickers Viscount 710C,Avión de transporte y pasajeros,Avión
Vickers Viscount 720,Avión de transporte y pasajeros,Avión
Vickers Viscount 724,Avión de transporte y pasajeros,Avión
Vickers Viscount 739A,Avión de transporte y pasajeros,Avión
Vickers Viscount 739B,Avión de transporte y pasajeros,Avión
Vickers Viscount 745D,Avión de transporte y pasajeros,Avión
Vickers Viscount 745D / T-33A,Avión de transporte y pasajeros,Avión
Vickers Viscount 748D,Avión de transporte y pasajeros,Avión
Vickers Viscount 749,Avión de transporte y pasajeros,Avión
Vickers Viscount 754D / Douglas C-47,Avión de transporte y pasajeros,Avión
Vickers Viscount 755D,Avión de transporte y pasajeros,Avión
Vickers Viscount 759D,Avión de transporte y pasajeros,Avión
Vickers Viscount 763,Avión de transporte y pasajeros,Avión
Vickers Viscount 764 D,Avión de transporte y pasajeros,Avión
Vickers Viscount 764D,Avión de transporte y pasajeros,Avión
Vickers Viscount 768D,Avión de transporte y pasajeros,Avión
Vickers Viscount 781D,Avión de transporte y pasajeros,Avión
Vickers Viscount 782D,Avión de transporte y pasajeros,Avión
Vickers Viscount 785D,Avión de transporte y pasajeros,Avión
Vickers Viscount 794D,Avión de transporte y pasajeros,Avión
Vickers Viscount 803,Avión de transporte y pasajeros,Avión
Vickers Viscount 804,Avión de transporte y pasajeros,Avión
Vickers Viscount 812,Avión de transporte y pasajeros,Avión
Vickers Viscount 816,Avión de transporte y pasajeros,Avión
Vickers Viscount 818,Avión de transporte y pasajeros,Avión
Vickers Viscount 827 / Fokker T-21,Avión de transporte y pasajeros,Avión
Vickers Viscount 828,Avión de transporte y pasajeros,Avión
Vickers Viscount 832,Avión de transporte y pasajeros,Avión
Vickers Viscount 837,Avión militar,Avión
Vickers Viscount 838,Avión de transporte y pasajeros,Avión
Vickers Wellington bomber,Avión ligero,Avión
Volpar C45G,Avión ligero,Avión
Vultee V-1,Avión de transporte y pasajeros,Avión
"Waco, model YLC",Helicóptero de transporte y pasajeros,Helicóptero
Wapiti,Avión de transporte y pasajeros,Avión
Westland Sea King HC-4 (helicopter),Avión de transporte y pasajeros,Avión
Wibault 280,Avión de transporte y pasajeros,Avión
Wibault 282T,Avión ligero,Avión
Wibault 283-T12,Avión ligero,Avión
Wright Byplane,Avión de transporte y pasajeros,Avión
Wright Flyer III,Avión de transporte y pasajeros,Avión
Xian MA-60,Avión de transporte y pasajeros,Avión
Xian Yunshuji Y-7-100C,Avión de transporte y pasajeros,Avión
Yakovlev 40,Avión de transporte y pasajeros,Avión
Yakovlev 40D,Avión de transporte y pasajeros,Avión
Yakovlev 42D,Avión de transporte y pasajeros,Avión
Yakovlev YAK-40,Avión de transporte y pasajeros,Avión
Yakovlev YAK-40 / Mil Mi-8,Avión de transporte y pasajeros,Avión
Yakovlev YAK-42,Avión de transporte y pasajeros,Avión
Yakovlev YAK-42D,Avión de transporte y pasajeros,Avión
Yakovlev Yak-40,Avión de transporte y pasajeros,Avión
Yunshuji Y-12,Avión de transporte y pasajeros,Avión
Yunshuji Y-12-II,Dirigible experimental,Dirigible
Yunshuji Y-8D,Dirigible militar,Dirigible
Zeppelin Dixmunde (airship),Dirigible militar,Dirigible
Zeppelin L-1 (airship),Dirigible militar,Dirigible
Zeppelin L-10 (airship),Dirigible militar,Dirigible
Zeppelin L-2 (airship),Dirigible militar,Dirigible
Zeppelin L-22 (airship),Dirigible militar,Dirigible
Zeppelin L-23 (airship),Dirigible militar,Dirigible
Zeppelin L-31 (airship),Dirigible militar,Dirigible
Zeppelin L-32 (airship),Dirigible militar,Dirigible
Zeppelin L-34 (airship),Dirigible militar,Dirigible
Zeppelin L-43 (airship),Dirigible militar,Dirigible
Zeppelin L-44 (airship),Dirigible militar,Dirigible
Zeppelin L-53 (airship),Dirigible militar,Dirigible
Zeppelin L-59 (airship),Dirigible militar,Dirigible
Zeppelin L-70 (airship),Dirigible de transporte y pasajeros,Dirigible
Zeppelin L-8 (airship),Dirigible militar,Dirigible
Zeppelin LZ-129,Avión comercial de pasajeros,Avión
Zepplin L-48 (air ship),Avión militar,Avión
de Hav Can. DHC-6 Tw Otter 100/ Cessna,Avión comercial de pasajeros,Avión
de Havilland  Canada  DHC-5D Buffalo,Avión comercial de pasajeros,Avión
de Havilland 104-6A,Avión comercial de pasajeros,Avión
de Havilland 106A,Avión comercial de pasajeros,Avión
de Havilland 110,Avión comercial de pasajeros,Avión
de Havilland 89A Dragon Rapide,Avión militar,Avión
de Havilland Can. DHC-6 -300/ Bell 206B,Avión militar,Avión
de Havilland Canada C-7A Caribou,Avión comercial de pasajeros,Avión
de Havilland Canada CV-2B Caribou,Avión comercial de pasajeros,Avión
de Havilland Canada DH-3T Otter,Avión comercial de pasajeros,Avión
de Havilland Canada DHC 3T Turbine Otter,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-2 Beaver,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-2 Beaver MK- 1,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-2 Mark I Beaver,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-3 Otter,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-3 Turbo Otter,Avión militar,Avión
de Havilland Canada DHC-3T,Avión militar,Avión
de Havilland Canada DHC-4 Caribou,Avión militar,Avión
de Havilland Canada DHC-4A,Avión militar,Avión
de Havilland Canada DHC-4A Caribou,Avión militar,Avión
de Havilland Canada DHC-4T Caribou,Avión militar,Avión
de Havilland Canada DHC-5 Buffalo,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-5D Buffalo,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-6 Twin Otter,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-6 Twin Otter 100,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-6 Twin Otter 200,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-6 Twin Otter 300,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-6 Twin Otter 310,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-6-300 Twin Otter,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-7-102,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-7-103,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-8-102,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-8-103,Avión comercial de pasajeros,Avión
de Havilland Canada DHC-8-301,Avión militar,Avión
de Havilland Canada DHC-8-402Q Dash 8,Avión comercial de pasajeros,Avión
de Havilland Canada U-1A Otter,Avión comercial de pasajeros,Avión
de Havilland Comet 4,Avión comercial de pasajeros,Avión
de Havilland Comet 4B,Avión militar,Avión
de Havilland Comet 4C,Avión comercial de pasajeros,Avión
de Havilland DCH-4T Caribou,Avión comercial de pasajeros,Avión
de Havilland DH-104 / Piper PA-28,Avión comercial de pasajeros,Avión
de Havilland DH-106 Comet 4,Avión comercial de pasajeros,Avión
de Havilland DH-114 Heron,Avión comercial de pasajeros,Avión
de Havilland DH-114 Heron 1B,Avión comercial de pasajeros,Avión
de Havilland DH-114 Heron 2,Avión comercial de pasajeros,Avión
de Havilland DH-114 Heron 2B,Avión comercial de pasajeros,Avión
de Havilland DH-114 Heron 2D,Avión comercial de pasajeros,Avión
de Havilland DH-18 / Farman F-60 Goliath,Avión comercial de pasajeros,Avión
de Havilland DH-34,Avión militar,Avión
de Havilland DH-34B,Avión comercial de pasajeros,Avión
de Havilland DH-4,Avión comercial de pasajeros,Avión
de Havilland DH-50A,Avión comercial de pasajeros,Avión
de Havilland DH-66 Hercules,Avión comercial de pasajeros,Avión
de Havilland DH-84 Dragon,Avión comercial de pasajeros,Avión
de Havilland DH-86,Avión comercial de pasajeros,Avión
de Havilland DH-86A,Avión comercial de pasajeros,Avión
de Havilland DH-89 Dragon Rapide,Avión militar,Avión
de Havilland DH-89A Dragon Rapide,Avión militar,Avión
de Havilland DH-9,Avión comercial de pasajeros,Avión
de Havilland DH-9C,Avión comercial de pasajeros,Avión
de Havilland DH.104 Dove,Avión ligero,Avión
de Havilland DH.50J,Avión comercial de pasajeros,Avión
de Havilland DH.80 Puss Moth,Avión comercial de pasajeros,Avión
de Havilland DH.89 Dragon Rapide,Avión comercial de pasajeros,Avión
de Havilland DH106 Comet 1,Avión comercial de pasajeros,Avión
de Havilland DH106 Comet 1A,Avión comercial de pasajeros,Avión
de Havilland DH114 Heron 2E,Avión comercial de pasajeros,Avión
de Havilland DHA-3 Drover II,Avión comercial de pasajeros,Avión
de Havilland DHC -6-100,Avión comercial de pasajeros,Avión
de Havilland DHC-2,Avión comercial de pasajeros,Avión
de Havilland DHC-2 MK.1 Beaver,Avión comercial de pasajeros,Avión
de Havilland DHC-2 Mk 1 Beaver,Avión comercial de pasajeros,Avión
de Havilland DHC-3 Otter,Avión militar,Avión
de Havilland DHC-3T Vazar TurbineOtter,Avión comercial de pasajeros,Avión
de Havilland DHC-5 Buffalo,Avión comercial de pasajeros,Avión
de Havilland DHC-6,Avión comercial de pasajeros,Avión
de Havilland DHC-6 Twim Otter 100,Avión comercial de pasajeros,Avión
de Havilland DHC-6 Twin Otter,Avión comercial de pasajeros,Avión
de Havilland DHC-6 Twin Otter 300,Avión comercial de pasajeros,Avión
de Havilland DHC-6 Twin Otter 400,Avión comercial de pasajeros,Avión
de Havilland DHC-6-200,Avión comercial de pasajeros,Avión
de Havilland Dash-2 Beaver,Avión comercial de pasajeros,Avión
de Havilland Dash-2 float plane,Avión comercial de pasajeros,Avión
de Havilland Dove 1,Avión comercial de pasajeros,Avión
de Havilland Dragon 1,Avión comercial de pasajeros,Avión
de Hvilland 89A Dragon Rapide,Avión comercial de pasajeros,Avión
de havilland 89 Dragon Rapide,Avión comercial de pasajeros,Avión
de havilland Canada Twin Otter 200,,
deHavilland DH-86,,
